ID,NAtoms,Ne,Homo-4,Homo-3,Homo-2,Homo-1,Homo,Lumo,Lumo+1,Lumo+2,Lumo+3,Lumo+4,CIe,HF,ET,EV,EJ,EK,ENuc,Dipole,Factor
AC0001,5,10,-11.2078,-0.9409,-0.54376,-0.54376,-0.54376,0.04182,0.07699,0.07699,0.07699,0.14976,-0.23778223,-40.2120398439,4.014245900000001,-11.9788623,3.2629439,-0.6586334,1.3391018,0.0,2
AC0002,8,18,-0.5942,-0.5942,-0.50851,-0.48597,-0.48596,0.04391,0.05894,0.06729,0.06729,0.09765,-0.44164767,-79.257236267,4.396120444444445,-14.882453277777778,4.440534944444445,-0.6945202777777778,2.3371384444444443,0.0,2
AC0003,11,26,-0.54825,-0.52941,-0.47444,-0.47426,-0.46736,0.04368,0.05787,0.06037,0.06437,0.08619,-0.64746031,-118.3040865438,4.5431806923076925,-16.880018076923076,5.333713961538461,-0.7082858461538462,3.161252115384616,0.082,2
AC0004,9,24,-0.58357,-0.56581,-0.52293,-0.48762,-0.35713,0.04223,0.05809,0.05929,0.07578,0.07973,-0.60830574,-117.1096117276,4.871031208333333,-17.1950675,5.248641916666666,-0.7356056249999999,2.931432791666667,0.3988,2
AC0005,7,22,-0.62366,-0.59062,-0.59062,-0.384,-0.384,0.03842,0.05,0.07313,0.07314,0.10857,-0.57134878,-115.9050288432,5.257323454545455,-17.56792181818182,5.149866954545455,-0.7680800454545454,2.6604010454545457,0.8016,2
AC0006,9,26,-0.56915,-0.53206,-0.52439,-0.48822,-0.44263,0.04039,0.05575,0.06539,0.06661,0.08939,-0.69697553,-154.1398413524,5.9188997692307685,-20.18544169230769,6.003259923076923,-0.7982523846153846,3.133078961538461,1.7347,2
AC0007,7,24,-0.6247,-0.60388,-0.56207,-0.50197,-0.42722,0.03857,0.05576,0.07152,0.07154,0.09638,-0.65731314,-152.9703193808,6.3626642083333325,-20.74928583333333,5.953716291666667,-0.8332802916666666,2.892422291666667,3.2267,2
AC0008,10,26,-0.57913,-0.51506,-0.50765,-0.48778,-0.38805,0.0412,0.05741,0.06043,0.06736,0.08834,-0.67719031,-134.3019770891,5.156990615384616,-18.40175126923077,5.651179961538461,-0.7494658846153845,3.177585923076923,1.3292,2
AC0009,8,26,-0.64664,-0.57914,-0.55012,-0.51158,-0.49855,0.04076,0.05735,0.06289,0.07336,0.09453,-0.70235059,-178.1452179442,6.842762423076923,-22.25653926923077,6.391214730769231,-0.8552366923076923,3.0260596538461537,2.2486,2
AC0010,10,34,-0.53229,-0.51649,-0.48449,-0.45687,-0.36037,0.04087,0.05819,0.06095,0.06396,0.08169,-0.77046859,-420.5794467261,12.364413235294116,-35.77508914705883,8.860806088235293,-1.0442929411764703,3.2241790294117645,1.329,2
