ID,smiles
AC0001,[H]C([H])([H])[H]
AC0002,[H]C([H])([H])C([H])([H])[H]
AC0003,[H]C([H])([H])C([H])([H])C([H])([H])[H]
AC0004,[H]C([H])=C([H])C([H])([H])[H]
AC0005,[H]C#CC([H])([H])[H]
AC0006,[H]OC([H])([H])C([H])([H])[H]
AC0007,[H]C(=O)C([H])([H])[H]
AC0008,[H]N([H])C([H])([H])C([H])([H])[H]
AC0009,[H]C([H])([H])C([H])([H])F
AC0010,[H+].[H+].[H][C-]([H])C([H])([H])[H].[P-3]
AC0011,[H]SC([H])([H])C([H])([H])[H]
AC0012,[H]C([H])([H])C([H])([H])Cl
AC0013,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H]
AC0014,[H]c1oc([H])c(C([H])([H])C([H])([H])[H])c1[H]
AC0015,[H]C1=C([H])C([H])([H])C(C([H])([H])C([H])([H])[H])=C([H])O1
AC0016,[H]c1nc(C([H])([H])C([H])([H])[H])c([H])c([H])c1[H]
AC0017,[H]c1nc([H])c([H])c(C([H])([H])C([H])([H])[H])n1
AC0018,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H]
AC0019,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H]
AC0021,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
AC0022,[H]N1C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H]
AC0023,[H]N1C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H]
AC0024,[H]N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[H]
AC0025,[H]C([H])([H])C([H])([H])[C@@]1([H])OC([H])([H])C1([H])[H]
AC0026,[H]C([H])([H])C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C1([H])[H]
AC0027,[H]C([H])([H])C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C([H])([H])C1([H])[H]
AC0028,[H]C([H])=C([H])[H]
AC0030,[H]C([H])=C=C([H])[H]
