ID,NAtoms,Ne,HF
AC0001,5,10,-40.2120398439
AC0002,8,18,-79.257236267
AC0003,11,26,-118.3040865438
AC0004,9,24,-117.1096117276
AC0005,7,22,-115.9050288432
AC0006,9,26,-154.1398413524
AC0007,7,24,-152.9703193808
AC0008,10,26,-134.3019770891
AC0009,8,26,-178.1452179442
AC0010,10,34,-420.5794467261
AC0011,9,34,-476.7979174372
AC0012,8,34,-538.1903585415
AC0013,18,58,-308.8682455219
AC0014,15,52,-306.7994813091
AC0015,18,60,-345.8339608732
AC0016,17,58,-324.8706321
AC0017,16,58,-340.8766757476
AC0018,15,40,-195.1935951407
AC0019,18,48,-234.2419128372
AC0021,24,64,-312.3718611751
AC0022,17,48,-250.2377449715
AC0023,20,56,-289.3131492666
AC0024,23,64,-328.3651868739
AC0025,16,48,-270.0771103844
AC0026,19,56,-309.1535734384
AC0027,22,64,-348.2057816152
AC0028,6,16,-78.0618223098
AC0030,7,22,-115.9027269939
AC0031,7,24,-152.9507775127
AC0033,8,24,-133.1159569702
AC0034,6,24,-176.9494822087
AC0035,8,32,-419.3863414937
AC0036,7,32,-475.6049500339
AC0037,6,32,-536.9927314746
AC0038,16,56,-307.6790676269
AC0039,13,50,-305.6116850205
AC0041,15,56,-323.6813431773
AC0042,14,56,-339.6866635317
AC0043,13,38,-194.0040077018
AC0044,16,46,-233.0515991409
AC0045,19,54,-272.1277921551
AC0047,15,46,-249.046407312
AC0048,18,54,-288.1229913903
AC0049,21,62,-327.1765324132
AC0050,14,46,-268.8838474095
AC0051,17,54,-307.9608770773
AC0052,20,62,-347.0124000639
AC0053,4,14,-76.8473674351
AC0055,5,22,-151.7244907833
AC0057,4,22,-175.7084737522
AC0058,6,30,-418.1816515015
AC0059,5,30,-474.391148891
AC0060,4,30,-535.7671609364
AC0061,14,54,-306.4701239461
AC0062,11,48,-304.4002236245
AC0063,14,56,-343.4366010366
AC0064,13,54,-322.4657413118
AC0065,12,54,-338.4685850457
AC0066,11,36,-192.7942142643
AC0067,14,44,-231.843403433
AC0068,17,52,-270.9197008064
AC0069,20,60,-309.9751301085
AC0070,13,44,-247.8339098836
AC0071,16,52,-286.9106522711
AC0072,19,60,-325.9650446016
AC0073,12,44,-267.6700190534
